solicitud_id,fecha_solicitud,edad,sector,antiguedad_laboral_anios,antiguedad_empresa_anios,ingreso_mensual,deuda_actual,num_creditos_previos,buro_score,monto_solicitado,plazo_meses,tasa_interes,default_90d
CR-101342,2023-05-30,43,Agro,20,6.3,9710.05,25001.41,1,493.0,69076.91,6,0.1873,0
CR-105627,2024-10-26,18,Servicios,0,11.6,1834.22,3653.9,3,462.0,12366.41,12,0.242,0
CR-100899,2025-01-06,21,Agro,0,6.2,3277.3,6037.52,2,398.0,14065.03,18,0.2568,0
CR-105997,2023-04-03,56,Servicios,34,8.8,8920.94,28501.85,1,554.0,46025.69,24,0.2035,0
CR-100125,2024-12-15,42,Agro,22,18.9,5174.71,10502.42,3,544.0,32810.64,6,0.2035,0
CR-101356,2024-08-04,34,Servicios,13,0.6,4958.63,18924.05,1,300.0,25392.15,24,0.2939,1
CR-102625,2023-12-26,36,Comercio,13,5.3,2603.03,10284.65,1,300.0,4239.24,18,0.284,1
CR-104615,2025-03-19,56,Construcción,37,15.8,3187.41,0.0,0,681.0,7493.16,6,0.1818,0
CR-103948,2023-12-21,37,Comercio,17,5.0,2125.55,6769.74,1,379.0,7313.04,12,0.2585,1
CR-101409,2025-04-19,44,Servicios,20,1.8,1683.04,6286.96,1,300.0,7697.03,12,0.2683,1
CR-104204,2025-06-09,53,Manufactura,30,5.7,3903.03,9894.68,2,438.0,25373.53,48,0.2235,0
CR-104760,2025-03-29,40,Servicios,22,3.1,10042.84,0.0,0,820.0,60652.81,24,0.1355,0
CR-104624,2023-03-20,58,Servicios,38,1.2,1232.14,1257.06,2,539.0,9255.98,12,0.2253,0
CR-101881,2025-05-28,54,Comercio,31,1.4,2039.07,352.29,2,619.0,9019.07,36,0.1977,0
CR-102326,2024-05-06,18,Construcción,0,11.6,2756.11,10011.29,1,349.0,10852.02,36,0.2744,1
CR-102785,2023-12-21,39,Manufactura,16,9.6,4243.98,8272.61,1,448.0,26289.82,12,0.224,0
CR-105084,2023-12-28,46,Construcción,23,3.1,2808.35,2197.04,2,680.0,15938.72,6,0.1769,0
CR-104052,2024-12-27,42,Servicios,20,6.4,2985.78,0.0,0,663.0,9735.65,36,0.1697,0
CR-103784,2023-09-27,58,Servicios,40,5.4,6301.33,0.0,0,,30547.15,48,0.1793,0
CR-101515,2024-12-21,40,Servicios,18,5.3,6161.12,0.0,0,658.0,36491.63,36,0.1562,0
CR-103887,2024-05-12,33,Agro,12,2.7,3418.26,0.0,0,613.0,8803.5,24,0.2058,0
CR-101615,2024-09-08,44,Tecnología,26,9.7,1786.91,3400.09,2,421.0,10812.22,18,0.2492,0
CR-104540,2024-10-01,50,Servicios,30,9.2,7331.19,26074.82,1,,36387.08,18,0.2565,1
CR-105082,2023-04-06,39,Servicios,19,18.2,5752.28,0.0,0,682.0,23978.99,36,0.1849,0
CR-100248,2025-05-06,70,Servicios,51,5.9,6483.32,14296.3,3,441.0,48779.93,12,0.2489,0
CR-101749,2024-11-23,48,Construcción,27,1.2,5408.67,16091.48,3,418.0,22783.47,18,0.2386,0
CR-103624,2024-03-21,37,Servicios,17,5.9,4603.47,6095.84,2,508.0,33955.09,6,0.2059,1
CR-101011,2024-08-16,54,Manufactura,32,1.2,3452.71,350.32,1,634.0,19081.68,18,0.1696,0
CR-104258,2024-08-24,55,Servicios,31,1.6,3623.07,0.0,0,613.0,24132.9,12,0.1907,0
CR-100554,2024-02-21,37,Construcción,15,3.3,4463.14,4460.39,1,630.0,30912.16,18,0.1903,0
CR-101494,2024-09-28,34,Manufactura,10,7.9,5122.71,8781.84,1,522.0,35410.18,18,0.2377,0
CR-102916,2024-07-20,55,Construcción,35,1.3,7041.99,21930.04,1,379.0,51439.42,36,0.2562,0
CR-100234,2023-08-03,30,Servicios,8,8.0,6788.73,8327.29,1,524.0,53725.82,24,0.2077,0
CR-102048,2023-10-28,39,Agro,18,0.7,3296.25,1002.33,1,598.0,15046.87,18,0.2139,0
CR-100820,2023-09-06,33,Manufactura,15,17.6,1851.64,1227.23,5,567.0,12016.66,24,0.1928,0
CR-104262,2024-04-09,33,Construcción,10,9.4,1455.83,2516.84,1,486.0,6083.62,24,0.2144,0
CR-103383,2023-08-25,31,Comercio,12,4.3,3287.15,5235.72,2,472.0,13899.8,18,0.2331,0
CR-100795,2024-06-07,37,Manufactura,13,5.2,13158.17,43697.62,1,550.0,88136.55,12,0.2129,1
CR-100545,2024-11-15,36,Tecnología,17,1.0,5585.13,10446.62,2,539.0,36828.59,24,0.2155,0
CR-100285,2023-08-18,33,Servicios,9,7.6,2759.94,1508.59,1,,20928.03,12,0.2013,0
CR-100383,2023-03-26,24,Comercio,4,2.5,2659.14,5240.23,1,437.0,5869.5,12,0.2166,0
CR-102860,2024-09-25,22,Tecnología,0,23.5,1756.69,1237.06,3,612.0,7920.72,24,0.2109,0
CR-105434,2023-03-20,28,Agro,4,4.6,3511.11,0.0,0,609.0,20959.28,24,0.2097,0
CR-105442,2025-06-09,46,Tecnología,26,6.2,5121.76,20470.53,1,476.0,29283.75,48,0.2218,1
CR-104556,2024-07-01,42,Agro,20,15.6,4433.5,9016.31,3,490.0,20295.8,12,0.2357,0
CR-103622,2023-08-20,28,Manufactura,8,3.1,2958.46,0.0,0,656.0,12448.4,12,0.1494,0
CR-103108,2025-04-06,24,Servicios,5,19.6,4334.62,0.0,0,692.0,15166.34,12,0.1658,0
CR-103741,2023-10-24,30,Manufactura,11,7.1,2649.91,7298.0,1,365.0,6836.14,6,0.2574,0
CR-100712,2023-07-28,27,Agro,9,0.7,1793.23,0.0,0,636.0,9505.8,6,0.1948,0
CR-100607,2025-04-18,43,Agro,21,6.3,2578.18,8705.73,3,343.0,10029.43,48,0.2804,0
CR-103894,2024-03-07,45,Servicios,27,4.0,9003.92,0.0,0,757.0,28913.39,36,0.1684,0
CR-100301,2023-10-12,21,Comercio,0,7.8,3653.83,9660.97,1,444.0,16418.69,18,0.2678,0
CR-102867,2023-08-12,55,Manufactura,37,7.1,2007.81,0.0,0,642.0,10024.41,36,0.179,0
CR-100161,2025-02-13,30,Comercio,12,3.4,1716.79,4858.66,4,,11075.65,18,0.2477,1
CR-102539,2023-08-16,45,Agro,23,1.2,3320.38,10109.12,2,327.0,11630.65,36,0.2473,1
CR-102603,2024-01-04,40,Tecnología,18,7.2,1994.69,7627.32,3,300.0,8191.03,36,0.2777,1
CR-104216,2024-07-12,51,Servicios,29,4.8,3289.66,8893.08,4,417.0,25515.05,6,0.2342,1
CR-101660,2023-07-16,64,Manufactura,41,2.5,2510.33,6232.87,2,398.0,12663.66,24,0.251,0
CR-104554,2024-02-14,58,Servicios,37,2.7,4358.21,0.0,0,701.0,16646.57,18,0.1493,0
CR-104405,2024-04-18,52,Servicios,34,8.6,2486.93,7629.4,3,346.0,15079.56,12,0.2606,1
CR-102106,2023-06-10,53,Comercio,34,3.1,2033.7,5902.59,1,356.0,5166.01,12,0.2613,0
CR-102000,2023-04-02,33,Agro,12,3.4,3813.7,8857.81,1,382.0,30047.97,36,0.2607,0
CR-101685,2025-05-21,45,Servicios,27,4.8,4271.58,14922.24,2,401.0,8466.63,18,0.2325,0
CR-102304,2023-09-03,42,Servicios,24,10.7,,3636.96,2,,6969.99,18,0.2517,0
CR-105506,2023-11-05,32,Manufactura,8,3.8,2219.53,8736.22,1,300.0,10526.38,6,0.2962,1
CR-102282,2025-02-08,50,Comercio,30,1.9,9562.65,6585.7,1,601.0,71986.69,24,0.1999,0
CR-102917,2025-06-01,58,Servicios,36,1.4,2505.55,1772.29,1,577.0,5532.64,36,0.188,0
CR-101586,2024-11-22,18,Comercio,0,5.6,3958.89,7948.11,1,497.0,10412.36,36,0.2191,0
CR-103396,2024-11-09,28,Comercio,7,16.3,5331.03,12743.61,3,464.0,13807.09,6,0.2357,0
CR-103189,2024-11-07,23,Comercio,2,4.0,4871.86,14668.42,4,315.0,18361.48,36,0.2782,0
CR-105844,2024-04-13,54,Agro,34,7.0,4835.97,18715.03,3,303.0,9350.62,12,0.2828,1
CR-104669,2023-01-05,29,Tecnología,6,19.4,6222.92,0.0,0,682.0,47292.47,12,0.1872,0
CR-105797,2024-09-03,40,Tecnología,18,6.1,4488.98,0.0,0,750.0,16421.68,18,0.1416,0
CR-104637,2024-04-24,27,Comercio,4,4.4,2743.67,4343.04,4,495.0,16287.06,48,0.2283,0
CR-103783,2024-01-05,53,Construcción,32,1.5,6815.89,22886.23,1,439.0,13092.73,24,0.2381,0
CR-105289,2023-09-01,57,Construcción,34,9.1,7836.45,5240.68,1,600.0,50375.83,18,0.1951,0
CR-104197,2023-03-22,20,Agro,0,2.6,,1221.58,2,651.0,14176.06,12,0.1969,0
CR-105054,2024-01-17,38,Manufactura,16,5.5,2059.46,1243.49,3,630.0,9568.08,12,0.1949,0
CR-101637,2024-07-29,49,Agro,29,11.4,2448.38,1292.32,1,593.0,15569.41,6,0.2114,0
CR-102327,2023-07-11,54,Agro,36,5.0,4211.92,4493.41,1,565.0,28877.42,12,0.2015,0
CR-103823,2023-10-19,36,Manufactura,14,2.2,1945.2,4602.83,3,416.0,7437.68,24,0.2327,1
CR-102049,2023-03-20,26,Servicios,8,22.8,2142.51,4179.5,1,506.0,14319.32,6,0.2065,0
CR-103379,2024-08-05,35,Comercio,13,4.4,2518.4,0.0,0,643.0,6893.26,18,0.1791,0
CR-101967,2023-05-05,37,Comercio,14,6.0,5933.85,0.0,0,716.0,40475.91,18,0.1421,0
CR-102403,2023-03-06,30,Agro,10,4.6,7039.26,14820.13,1,504.0,11859.27,18,0.2474,0
CR-101399,2024-10-11,22,Manufactura,0,8.7,5771.67,7805.64,1,,15221.94,12,0.2096,0
CR-104508,2024-11-16,28,Comercio,4,9.1,3687.09,3607.12,1,582.0,18767.51,12,0.1915,0
CR-104974,2023-11-06,33,Servicios,13,5.8,10383.03,4609.23,1,,61344.88,48,0.1808,0
CR-104954,2025-03-09,50,Comercio,32,14.4,5875.43,9479.64,3,529.0,40019.05,18,0.2219,0
CR-105097,2024-09-27,63,Manufactura,45,8.5,3004.44,3273.92,5,469.0,12360.76,12,0.223,0
CR-100718,2025-03-08,34,Agro,10,8.7,5463.42,0.0,0,753.0,38702.41,48,0.1493,0
CR-104927,2024-07-09,42,Comercio,23,0.3,5067.83,13.15,1,572.0,34434.94,48,0.2164,0
CR-102084,2025-04-08,49,Manufactura,27,9.3,6789.73,0.0,0,713.0,46143.63,6,0.1432,0
CR-105473,2024-03-05,34,Servicios,10,2.3,,0.0,0,671.0,31299.97,12,0.1675,0
CR-101650,2023-04-23,32,Servicios,9,4.7,7510.01,0.0,0,779.0,32650.45,36,0.1096,0
CR-101375,2023-10-18,42,Manufactura,23,6.3,4749.88,18461.02,3,307.0,13312.89,12,0.2529,1
CR-100611,2023-03-23,41,Comercio,21,5.0,6259.71,3351.14,2,630.0,22890.17,12,0.1856,0
CR-105355,2025-05-03,48,Manufactura,26,3.9,3525.47,1098.53,1,,5652.67,36,0.1918,0
CR-101768,2023-09-01,28,Servicios,4,3.6,2080.05,4356.56,1,419.0,4170.69,24,0.2472,0
CR-103372,2024-02-28,22,Servicios,1,10.2,1856.15,87.96,3,619.0,3814.23,24,0.1946,0
CR-103321,2024-12-06,35,Comercio,13,12.8,3500.66,60.0,1,622.0,21694.84,24,0.206,0
CR-101941,2024-02-11,39,Manufactura,15,7.5,2987.78,496.64,1,601.0,9462.76,6,0.1877,0
CR-100276,2024-10-12,30,Comercio,9,3.7,3550.21,5357.77,1,521.0,15532.41,18,0.2146,0
CR-100179,2024-10-14,41,Comercio,21,7.2,3081.72,8668.06,2,395.0,20056.43,36,0.2475,0
CR-103961,2023-11-13,53,Servicios,33,5.3,3451.74,0.0,0,676.0,8565.49,18,0.1773,0
CR-102615,2024-04-27,31,Agro,11,13.0,5445.68,7270.75,1,604.0,15936.2,18,0.1554,0
CR-100136,2024-01-27,41,Comercio,19,0.7,5725.74,10546.63,2,496.0,16280.06,12,0.2269,0
CR-104937,2023-07-22,20,Tecnología,2,6.4,4002.18,1140.42,1,551.0,16094.58,36,0.2319,0
CR-105055,2025-05-08,38,Construcción,14,6.1,2839.31,6598.83,2,414.0,19529.57,12,0.2644,0
CR-105009,2023-11-16,41,Construcción,19,7.9,1958.95,1866.36,2,524.0,3806.5,12,0.2069,0
CR-102241,2023-01-08,29,Servicios,11,7.5,2412.39,2244.56,1,554.0,8100.72,24,0.218,0
CR-103816,2025-03-21,37,Comercio,14,5.8,2645.24,0.0,0,703.0,18212.12,12,0.1289,0
CR-100250,2024-02-04,34,Comercio,11,12.8,2379.6,5745.08,2,474.0,8783.05,12,0.2545,1
CR-103619,2023-08-15,35,Agro,12,0.6,11122.22,0.0,0,806.0,31065.38,24,0.1321,0
CR-105963,2024-08-10,37,Manufactura,18,4.5,2044.9,792.5,1,579.0,12758.1,12,0.1975,0
CR-101710,2025-05-29,32,Servicios,12,33.7,4263.64,13711.73,1,461.0,10366.52,24,0.2371,1
CR-100354,2024-03-02,50,Servicios,27,5.4,5543.63,22168.98,2,,8363.09,36,0.2683,0
CR-104295,2023-07-27,43,Agro,22,3.4,3269.27,0.0,0,653.0,13284.44,12,0.1752,0
CR-103692,2023-10-30,18,Servicios,0,3.6,4933.65,11231.76,5,470.0,29863.81,36,0.2199,0
CR-102863,2023-06-22,72,Tecnología,48,5.9,3586.57,5409.17,1,501.0,14460.76,6,0.2342,0
CR-105309,2023-03-19,46,Servicios,26,9.6,2987.54,1824.62,1,634.0,15478.38,36,0.1811,0
CR-101456,2023-03-03,63,Comercio,45,11.8,6008.25,5866.72,1,530.0,15787.0,6,0.2121,0
CR-101793,2023-05-01,35,Manufactura,16,11.1,3404.22,0.0,0,567.0,13619.97,12,0.2159,0
CR-105784,2023-08-16,37,Agro,17,16.1,6412.63,0.0,0,817.0,19571.87,24,0.1347,0
CR-104301,2023-07-03,50,Comercio,30,11.8,2356.86,5152.68,1,504.0,12870.18,12,0.2183,0
CR-104987,2024-07-29,41,Comercio,20,4.0,7798.52,10053.88,2,619.0,39672.67,6,0.1586,0
CR-100444,2024-05-14,34,Tecnología,15,1.6,10825.88,0.0,0,729.0,68488.67,36,0.1482,0
CR-101946,2025-06-14,30,Comercio,6,12.7,,4605.74,2,537.0,19852.62,18,0.2326,0
CR-103169,2023-04-09,25,Agro,6,12.2,3994.5,0.0,0,710.0,26646.38,24,0.1668,0
CR-101396,2025-02-09,45,Servicios,27,5.1,5750.95,7782.37,1,492.0,44227.17,36,0.21,0
CR-100799,2024-05-13,38,Comercio,19,3.3,3725.24,0.0,0,564.0,17845.72,12,0.2125,0
CR-105424,2023-01-24,46,Manufactura,28,15.4,5528.28,13553.66,1,424.0,8300.35,12,0.2535,1
CR-100028,2024-07-11,43,Comercio,23,2.8,3478.76,279.42,2,545.0,15409.66,24,0.2175,0
CR-104038,2023-03-30,30,Manufactura,6,3.8,3567.87,7485.35,2,512.0,24452.81,36,0.2088,0
CR-103974,2024-06-01,31,Manufactura,13,10.6,2466.53,9115.77,4,338.0,19661.75,12,0.2665,0
CR-104762,2023-05-14,41,Comercio,23,1.1,3593.08,1495.81,1,538.0,25426.66,24,0.2174,0
CR-101387,2023-09-09,26,Construcción,2,10.2,3006.21,3246.98,1,567.0,5329.3,24,0.2174,0
CR-102441,2024-12-30,44,Servicios,26,9.1,1084.39,0.0,0,656.0,1876.54,36,0.1757,0
CR-105305,2024-04-29,58,Manufactura,36,11.4,2557.19,1609.21,2,611.0,11415.8,12,0.1851,0
CR-103573,2024-04-07,37,Manufactura,16,4.2,1621.68,4475.73,1,343.0,9166.36,6,0.2628,0
CR-104260,2025-04-21,41,Comercio,19,0.5,2487.02,3204.78,2,494.0,17369.53,6,0.215,1
CR-100784,2023-01-10,38,Agro,14,6.9,4688.46,9255.53,2,537.0,19405.54,18,0.1909,0
CR-104867,2024-06-12,34,Servicios,12,5.2,3626.18,3744.35,3,529.0,22896.78,24,0.2282,0
CR-104113,2025-02-01,44,Construcción,20,1.7,3184.11,5509.58,1,554.0,9130.0,48,0.1825,0
CR-102355,2023-08-13,18,Comercio,0,10.1,1486.08,3274.78,4,457.0,9587.63,6,0.2169,0
CR-105504,2025-05-04,39,Construcción,18,2.6,3918.49,4817.32,2,515.0,26175.54,6,0.2132,0
CR-103856,2023-04-13,25,Comercio,5,10.1,2838.45,1683.38,1,542.0,9628.1,18,0.2262,0
CR-102909,2024-04-27,44,Servicios,22,13.9,8089.91,26608.73,1,472.0,52561.1,6,0.2153,0
CR-104850,2024-10-21,34,Tecnología,14,2.2,3077.35,4677.63,1,481.0,6835.8,24,0.245,0
CR-102445,2024-09-21,67,Agro,44,24.5,8297.91,25294.53,3,407.0,17030.13,6,0.2489,0
CR-100368,2023-12-05,40,Comercio,22,3.4,4500.39,15538.41,1,300.0,16505.74,36,0.266,1
CR-101817,2024-06-10,48,Manufactura,27,6.5,1300.99,2889.99,4,420.0,5733.5,6,0.2367,0
CR-100496,2025-02-14,18,Agro,0,15.6,2250.85,3621.12,2,498.0,7096.0,48,0.2196,0
CR-103921,2025-06-11,35,Tecnología,17,6.4,7204.07,0.0,0,688.0,47640.19,6,0.1699,0
CR-103534,2025-03-10,43,Manufactura,21,2.8,5450.86,0.0,0,638.0,37609.4,24,0.1842,0
CR-105352,2024-06-18,49,Servicios,31,8.9,11237.71,26180.14,3,470.0,55797.22,12,0.21,0
CR-104397,2023-05-28,33,Manufactura,13,5.8,6541.02,0.0,0,782.0,41378.44,18,0.1324,0
CR-100314,2024-02-23,47,Manufactura,24,12.8,7431.75,16655.22,1,493.0,55538.39,36,0.1996,0
CR-102576,2025-03-03,29,Comercio,7,13.8,4312.73,642.36,1,717.0,15964.5,6,0.145,0
CR-102354,2024-10-03,25,Comercio,4,6.7,7992.5,13612.83,5,518.0,23725.87,12,0.2433,0
CR-104421,2023-07-31,46,Comercio,23,5.5,2145.94,1324.78,3,551.0,13640.9,12,0.1941,0
CR-104597,2023-12-23,42,Servicios,22,9.4,6211.26,0.0,0,654.0,14697.57,6,0.1924,0
CR-101321,2023-07-07,32,Comercio,9,5.4,4489.19,0.0,0,723.0,25936.89,12,0.1554,0
CR-100021,2023-02-14,31,Servicios,13,24.5,1452.18,263.62,2,587.0,6274.95,6,0.1822,0
CR-100200,2024-03-26,42,Servicios,21,10.1,2076.23,0.0,0,650.0,7200.03,24,0.1655,0
CR-104220,2025-02-03,56,Tecnología,33,7.1,5668.12,0.0,0,710.0,32190.54,12,0.1212,0
CR-105688,2025-05-23,45,Servicios,27,2.4,2238.27,0.0,0,570.0,10712.83,12,0.1794,0
CR-105758,2024-02-13,42,Tecnología,19,6.1,5776.81,157.95,2,710.0,41834.16,6,0.1273,0
CR-105977,2024-10-11,32,Tecnología,10,7.7,2356.23,2496.17,3,529.0,9714.48,18,0.2226,0
CR-101026,2024-08-07,18,Tecnología,0,15.3,3655.43,6417.35,1,418.0,23411.31,36,0.2534,0
CR-103376,2023-03-29,45,Servicios,25,6.3,7131.71,10421.38,1,566.0,41199.47,18,0.2152,0
CR-102399,2023-10-08,44,Servicios,24,9.5,3720.53,8918.74,1,401.0,10692.75,18,0.2306,1
CR-103773,2023-10-28,44,Servicios,24,21.3,3986.44,0.0,0,669.0,31792.49,12,0.1667,0
CR-101028,2024-09-13,38,Manufactura,19,15.2,5216.15,8584.57,1,470.0,8884.81,36,0.2368,0
CR-102332,2023-01-17,41,Construcción,20,1.4,1425.57,0.0,0,,10770.02,6,0.1927,0
CR-105070,2025-03-08,33,Tecnología,14,5.0,3627.81,2680.99,1,564.0,16800.99,48,0.195,0
CR-101723,2023-09-02,59,Tecnología,36,4.3,10513.76,25461.8,2,538.0,18126.61,18,0.2251,0
CR-104298,2023-03-27,56,Servicios,35,14.5,5805.85,15469.75,1,463.0,40017.16,6,0.2293,0
CR-103366,2024-02-25,38,Servicios,18,2.4,3917.61,12712.16,1,380.0,13695.51,18,0.2453,1
CR-100993,2024-01-10,52,Comercio,29,14.0,,49.45,1,751.0,55567.13,6,0.1375,0
CR-100119,2023-12-19,35,Construcción,16,4.2,4708.63,0.0,0,631.0,36573.22,6,0.1944,0
CR-104593,2024-06-03,35,Manufactura,15,9.6,9314.99,7926.77,1,615.0,23177.41,48,0.1805,0
